kernel,C,gamma,fit_seconds,n_support,accuracy,precision_macro,recall_macro,f1_macro,error
rbf,10.0,0.1,10.900169372558594,12401.0,0.9788152880185478,0.8366866805375203,0.7542036077816197,0.7701906746235035,
rbf,1.0,0.1,8.318841457366943,17260.0,0.9776311730698429,0.8611892814013388,0.7240851997929504,0.7615184208368954,
linear,1.0,scale,36.02722358703613,11986.0,0.96203866782093,0.8723495305789155,0.65909361545766,0.6992552878128244,
rbf,1.0,scale,8.030319929122925,20458.0,0.964138232982079,0.9071645718312923,0.6314744767593633,0.6877395633486183,
rbf,0.1,0.1,10.494591474533081,30330.0,0.9651531886523976,0.8618689914460028,0.621462659898712,0.6846188381240756,
linear,0.1,scale,10.14410662651062,17655.0,0.9561379941689802,0.874304221185414,0.6034022417085833,0.6485126194852221,
rbf,0.1,scale,9.476784706115723,40911.0,0.9361771993193827,0.7419101048524884,0.5238552979518061,0.5748951735984774,
rbf,10.0,scale,,,,,,,RuntimeError: exception occurred! file=/tmp/conda-bld-output/bld/rattler-build_libcuml/work/cpp/src/svm/kernelcache.cuh line=448: Work
linear,10.0,scale,,,,,,,RuntimeError: exception occurred! file=/tmp/conda-bld-output/bld/rattler-build_libcuml/work/cpp/src/svm/kernelcache.cuh line=448: Work
