n_estimators,max_depth,max_features,fit_seconds,predict_seconds,accuracy,precision_macro,recall_macro,f1_macro
300,24,log2,20.882568359375,5.343972444534302,0.8354863657909837,0.4307407779451979,0.1703108974897621,0.18349427166275573
300,16,log2,20.46827268600464,1.4158539772033691,0.835461417558566,0.3862947125582392,0.16972261243249287,0.18254705034531835
300,12,sqrt,18.299839973449707,0.35489463806152344,0.8342738816954819,0.4275964792068944,0.15552359208467836,0.1653652683612924
100,24,sqrt,7.696595907211304,1.6504480838775635,0.8333557867425093,0.41646671987735207,0.15262668948796101,0.16442967495004415
100,16,sqrt,9.125272989273071,0.5519998073577881,0.8333058902776739,0.41646371339087396,0.15054537162089707,0.16101427269735372
300,12,log2,13.930256128311157,0.31943273544311523,0.8334456003792131,0.2830979726918355,0.15236981731895005,0.16071491841330404
300,24,sqrt,23.440664529800415,14.538316249847412,0.831828954918544,0.4830352782313135,0.14678019521130695,0.15430838474331005
300,16,sqrt,20.679847478866577,0.9224615097045898,0.8318089963326099,0.41636705860849865,0.1455924785088375,0.15214587429219492
100,12,sqrt,5.6892595291137695,0.32970166206359863,0.8309557667839234,0.4163329065396838,0.1432273420358601,0.14751359102684322
100,24,log2,7.3901379108428955,1.2457067966461182,0.8303819574383154,0.4304696740857607,0.14116472819918466,0.14270969317200252
100,16,log2,5.915315389633179,0.4689512252807617,0.8303470299129306,0.3860098068608052,0.14011264666442036,0.141387752734075
100,12,log2,4.810014009475708,0.18135333061218262,0.8303220816805129,0.28275042414938834,0.1323459794648269,0.1338846617065574
