model,rank,clean,mean_retention,worst_retention,mean_drop,worst_drop,worst_scenario
KNN,1,0.7489596411632741,0.6535726525357369,0.549479804802487,0.25946010184597934,0.3374214437319375,gaussian-30
Softmax,2,0.6327953259715263,0.5449466114780169,0.4934774512193962,0.2879556573242159,0.3205251013675505,uniform-30
SVM,3,0.7008783006195285,0.48549450338081607,0.43343737695908147,0.3606057381298602,0.3970914484314615,multiplicative-30
XGBoost,4,0.7806304394622512,0.28992430674571756,0.2510373173057005,0.5543067004765532,0.5846630681324776,gaussian-30
Random Forest,5,0.7824626999297651,0.125815037993299,0.11963696832391206,0.6840171256097625,0.6888512346836251,missing-30
