max_depth,learning_rate,colsample_bytree,n_trees_used,fit_seconds,predict_seconds,accuracy,precision_macro,recall_macro,f1_macro
6,0.1,0.6,343,30.90225887298584,0.663240909576416,0.983623980241,0.8750560475235908,0.8652607726356969,0.8605342246454897
10,0.1,1.0,126,15.316568851470947,0.1295313835144043,0.983569094129681,0.8718591244042229,0.8667853681326824,0.8602558411943833
8,0.1,0.6,217,24.514732360839844,0.20119071006774902,0.9836738767058354,0.8737367688936838,0.8631780224751268,0.8590747805506757
10,0.1,0.6,146,21.575544118881226,0.13718271255493164,0.9835840630691316,0.8716698051016523,0.8626485515659092,0.8581322402407772
8,0.1,1.0,193,18.71359133720398,0.15630722045898438,0.9835291769578125,0.8694262069057312,0.8628932710684698,0.8571781617698078
6,0.1,1.0,349,29.995047330856323,0.33994483947753906,0.9836090113015493,0.8685733837347194,0.8616285263474244,0.8554681026966355
10,0.3,1.0,1,2.42475962638855,0.01949930191040039,0.9818027592745054,0.7943565958185879,0.8538587444186202,0.802937366829158
6,0.3,0.6,8,2.5361168384552,0.03317999839782715,0.9800613726517476,0.7930926088475693,0.8360867312278913,0.790298235978233
8,0.3,0.6,4,2.579453229904175,0.03603100776672363,0.9810493226554898,0.7748784272511232,0.8309010334240184,0.7783133489823224
8,0.3,1.0,1,2.214996576309204,0.02092146873474121,0.9803507721477933,0.7706915210854206,0.8548432001571523,0.7777104148766891
6,0.3,1.0,5,2.1080522537231445,0.0272979736328125,0.9798168799740539,0.7661038696562013,0.8449991964693839,0.769053591334196
10,0.3,0.6,3,5.80846643447876,0.021815776824951172,0.9803308135618591,0.738987572122943,0.7981885631186796,0.7418436337391564
